Date,Zone_ID,Material,Labor_Count,Active_Machines,Weather,Daily_Usage_m3,Cumulative_Usage,Shortage_Risk
2024-11-01,Foundation,concrete,14,4,0,0.92,0.92,0
2024-11-02,Foundation,concrete,28,0,1,0.07,0.99,0
2024-11-03,Foundation,concrete,23,1,0,0.85,1.84,0
2024-11-04,Foundation,concrete,14,1,0,0.81,2.65,0
2024-11-05,Foundation,concrete,11,2,0,0.86,3.51,0
2024-11-06,Foundation,concrete,16,0,0,0.85,4.36,0
2024-11-07,Foundation,concrete,26,0,0,1.16,5.52,0
2024-11-08,Foundation,concrete,24,3,0,0.98,6.5,0
2024-11-09,Foundation,concrete,10,0,0,0.71,7.21,0
2024-11-10,Foundation,concrete,24,3,0,0.85,8.06,0
2024-11-11,Foundation,concrete,18,0,0,0.79,8.85,0
2024-11-12,Foundation,concrete,24,3,0,1.12,9.97,0
2024-11-13,Foundation,concrete,16,0,0,0.76,10.73,0
2024-11-14,Foundation,concrete,18,2,0,0.97,11.7,0
2024-11-15,Foundation,concrete,8,1,0,0.65,12.35,0
2024-11-16,Foundation,concrete,5,0,0,0.67,13.02,0
2024-11-17,Foundation,concrete,13,4,0,0.76,13.78,0
2024-11-18,Foundation,concrete,29,1,1,0.07,13.85,0
2024-11-19,Foundation,concrete,22,1,0,0.91,14.76,0
2024-11-20,Foundation,concrete,17,3,1,0.07,14.83,0
2024-11-21,Foundation,concrete,11,3,0,0.66,15.49,0
2024-11-22,Foundation,concrete,6,3,1,0.07,15.56,0
2024-11-23,Foundation,concrete,14,3,0,0.69,16.25,0
2024-11-24,Foundation,concrete,24,4,0,0.81,17.06,0
2024-11-25,Foundation,concrete,8,3,1,0.07,17.13,0
2024-11-26,Foundation,concrete,13,4,0,0.77,17.9,0
2024-11-27,Foundation,concrete,21,0,1,0.07,17.97,0
2024-11-28,Foundation,concrete,23,0,0,1.01,18.98,0
2024-11-29,Foundation,concrete,16,1,0,0.75,19.73,0
2024-11-30,Foundation,concrete,11,4,0,0.93,20.66,0
2024-12-01,Foundation,concrete,15,2,0,1.04,21.7,0
2024-12-02,Foundation,concrete,6,4,0,0.76,22.46,0
2024-12-03,Foundation,concrete,12,4,0,0.76,23.22,0
2024-12-04,Foundation,concrete,6,2,0,0.84,24.06,0
2024-12-05,Foundation,concrete,12,4,0,0.8,24.86,0
2024-12-06,Foundation,concrete,10,2,0,0.95,25.81,0
2024-12-07,Foundation,concrete,23,1,0,0.94,26.75,0
2024-12-08,Foundation,concrete,28,4,0,0.96,27.71,0
2024-12-09,Foundation,concrete,5,1,0,0.71,28.42,0
2024-12-10,Foundation,concrete,8,0,0,0.89,29.31,0
2024-12-11,Foundation,concrete,13,1,1,0.07,29.38,0
2024-12-12,Foundation,concrete,23,0,0,0.89,30.27,0
2024-12-13,Foundation,concrete,7,0,0,0.64,30.91,0
2024-12-14,Foundation,concrete,9,0,0,0.68,31.59,0
2024-12-15,Foundation,concrete,21,1,0,0.81,32.4,0
2024-12-16,Foundation,concrete,28,4,0,1.2,33.6,0
2024-12-17,Foundation,concrete,29,2,0,0.91,34.51,0
2024-12-18,Foundation,concrete,9,4,0,0.92,35.43,0
2024-12-19,Foundation,concrete,13,4,1,0.07,35.5,0
2024-12-20,Foundation,concrete,23,2,0,0.94,36.44,0
2024-12-21,Foundation,concrete,26,1,0,1.01,37.45,0
2024-12-22,Foundation,concrete,6,3,1,0.07,37.52,0
2024-12-23,Foundation,concrete,21,4,1,0.07,37.59,0
2024-12-24,Foundation,concrete,29,3,0,0.93,38.52,0
2024-12-25,Foundation,concrete,11,0,0,0.98,39.5,0
2024-12-26,Foundation,concrete,5,4,0,0.8,40.3,0
2024-12-27,Foundation,concrete,18,1,0,0.81,41.11,0
2024-12-28,Foundation,concrete,20,4,0,1.02,42.13,0
2024-12-29,Foundation,concrete,17,3,0,0.93,43.06,0
2024-12-30,Foundation,concrete,10,3,0,0.88,43.94,0
2024-12-31,Foundation,concrete,16,0,0,0.9,44.84,0
2025-01-01,Foundation,concrete,23,3,0,0.92,45.76,0
2025-01-02,Foundation,concrete,29,4,0,1.16,46.92,0
2025-01-03,Foundation,concrete,5,4,0,0.64,47.56,0
2025-01-04,Foundation,concrete,12,3,0,0.95,48.51,0
2025-01-05,Foundation,concrete,15,4,0,0.88,49.39,0
2025-01-06,Foundation,concrete,14,4,0,0.97,50.36,0
2025-01-07,Foundation,concrete,12,3,0,0.79,51.15,0
2025-01-08,Foundation,concrete,16,4,0,0.96,52.11,0
2025-01-09,Foundation,concrete,8,4,1,0.07,52.18,0
2025-01-10,Foundation,concrete,29,2,1,0.07,52.25,0
2025-01-11,Foundation,concrete,29,4,0,1.2,53.45,0
2025-01-12,Foundation,concrete,19,3,0,0.97,54.42,0
2025-01-13,Foundation,concrete,24,4,1,0.07,54.49,0
2025-01-14,Foundation,concrete,14,1,1,0.07,54.56,0
2025-01-15,Foundation,concrete,29,1,0,0.99,55.55,0
2025-01-16,Foundation,concrete,12,1,0,0.72,56.27,0
2025-01-17,Foundation,concrete,16,1,0,1.01,57.28,0
2025-01-18,Foundation,concrete,7,2,0,0.87,58.15,0
2025-01-19,Foundation,concrete,28,2,0,1.05,59.2,0
2025-01-20,Foundation,concrete,5,1,0,0.88,60.08,0
2025-01-21,Foundation,concrete,14,0,0,0.81,60.89,0
2025-01-22,Foundation,concrete,25,0,1,0.07,60.96,0
2025-01-23,Foundation,concrete,24,1,1,0.07,61.03,0
2025-01-24,Foundation,concrete,19,3,0,0.85,61.88,0
2025-01-25,Foundation,concrete,25,4,0,1.16,63.04,0
2025-01-26,Foundation,concrete,6,1,0,0.72,63.76,0
2025-01-27,Foundation,concrete,22,1,0,1.09,64.85,0
2025-01-28,Foundation,concrete,23,4,0,0.93,65.78,0
2025-01-29,Foundation,concrete,18,3,0,1.02,66.8,0
2025-01-30,Foundation,concrete,5,1,0,0.65,67.45,0
2025-01-31,Foundation,concrete,7,2,0,0.88,68.33,0
2025-02-01,Foundation,concrete,5,0,0,0.73,69.06,0
2025-02-02,Foundation,concrete,18,2,0,0.73,69.79,0
2025-02-03,Foundation,concrete,29,3,0,0.98,70.77,0
2025-02-04,Foundation,concrete,5,2,0,0.72,71.49,0
2025-02-05,Foundation,concrete,6,2,0,0.65,72.14,0
2025-02-06,Foundation,concrete,29,1,0,1.07,73.21,0
2025-02-07,Foundation,concrete,16,1,0,0.75,73.96,0
2025-02-08,Foundation,concrete,17,0,0,1.07,75.03,0
2025-02-09,Foundation,concrete,15,2,0,0.81,75.84,0
2025-02-10,Foundation,concrete,26,1,0,1.17,77.01,0
2025-02-11,Foundation,concrete,13,1,1,0.07,77.08,0
2025-02-12,Foundation,concrete,24,3,0,1.07,78.15,0
2025-02-13,Foundation,concrete,22,0,0,1.14,79.29,0
2025-02-14,Foundation,concrete,20,0,0,1.11,80.4,0
2025-02-15,Foundation,concrete,11,0,0,0.95,81.35,0
2025-02-16,Foundation,concrete,19,3,0,1.01,82.36,0
2025-02-17,Foundation,concrete,5,3,0,0.64,83.0,0
2025-02-18,Foundation,concrete,17,1,0,1.08,84.08,0
2025-02-19,Foundation,concrete,22,0,0,1.14,85.22,0
2025-02-20,Foundation,concrete,24,1,0,1.07,86.29,0
2025-02-21,Foundation,concrete,14,1,0,0.81,87.1,0
2025-02-22,Foundation,concrete,6,0,0,0.67,87.77,0
2025-02-23,Foundation,concrete,17,0,0,0.72,88.49,0
2025-02-24,Foundation,concrete,5,3,0,0.68,89.17,0
2025-02-25,Foundation,concrete,12,4,0,0.76,89.93,0
2025-02-26,Foundation,concrete,29,3,0,1.08,91.01,0
2025-02-27,Foundation,concrete,28,3,0,0.94,91.95,0
2025-02-28,Foundation,concrete,17,4,0,0.88,92.83,0
2025-03-01,Foundation,concrete,9,4,0,0.94,93.77,0
2025-03-02,Foundation,concrete,12,1,0,0.84,94.61,0
2025-03-03,Foundation,concrete,23,1,0,1.16,95.77,1
2025-03-04,Foundation,concrete,17,2,0,0.74,96.51,1
2025-03-05,Foundation,concrete,14,2,1,0.07,96.58,1
2025-03-06,Foundation,concrete,27,4,0,0.96,97.54,1
2025-03-07,Foundation,concrete,5,2,0,0.75,98.29,1
2025-03-08,Foundation,concrete,18,3,0,0.93,99.22,1
2025-03-09,Foundation,concrete,7,2,0,0.73,99.95,1
2025-03-10,Foundation,concrete,27,0,0,1.24,101.19,1
2025-03-11,Foundation,concrete,29,3,0,1.0,102.19,1
2025-03-12,Foundation,concrete,15,3,0,0.74,102.93,1
2025-03-13,Foundation,concrete,16,4,1,0.07,103.0,1
2025-03-14,Foundation,concrete,25,2,0,0.82,103.82,1
2025-03-15,Foundation,concrete,8,2,0,0.84,104.66,1
2025-03-16,Foundation,concrete,29,1,0,0.99,105.65,1
2025-03-17,Foundation,concrete,28,2,0,0.9,106.55,1
2025-03-18,Foundation,concrete,22,3,0,0.96,107.51,1
2025-03-19,Foundation,concrete,14,0,1,0.07,107.58,1
2025-03-20,Foundation,concrete,5,4,0,0.71,108.29,1
2025-03-21,Foundation,concrete,25,4,0,0.98,109.27,1
2025-03-22,Foundation,concrete,9,1,0,0.65,109.92,1
2025-03-23,Foundation,concrete,13,1,0,0.98,110.9,1
2025-03-24,Foundation,concrete,14,1,0,0.83,111.73,1
2025-03-25,Foundation,concrete,22,2,0,1.0,112.73,1
2025-03-26,Foundation,concrete,25,0,0,1.11,113.84,1
2025-03-27,Foundation,concrete,28,1,0,1.0,114.84,1
2025-03-28,Foundation,concrete,27,0,0,1.1,115.94,1
2025-03-29,Foundation,concrete,25,4,1,0.07,116.01,1
2025-03-30,Foundation,concrete,9,2,0,0.82,116.83,1
2024-11-01,Zone A,concrete,21,3,0,0.27,0.27,0
2024-11-02,Zone A,concrete,9,2,0,0.2,0.47,0
2024-11-03,Zone A,concrete,21,1,0,0.24,0.71,0
2024-11-04,Zone A,concrete,23,0,0,0.22,0.93,0
2024-11-05,Zone A,concrete,23,1,1,0.02,0.95,0
2024-11-06,Zone A,concrete,14,4,0,0.22,1.17,0
2024-11-07,Zone A,concrete,18,2,0,0.19,1.36,0
2024-11-08,Zone A,concrete,20,4,0,0.23,1.59,0
2024-11-09,Zone A,concrete,22,2,0,0.22,1.81,0
2024-11-10,Zone A,concrete,18,1,0,0.26,2.07,0
2024-11-11,Zone A,concrete,24,0,0,0.26,2.33,0
2024-11-12,Zone A,concrete,6,3,0,0.2,2.53,0
2024-11-13,Zone A,concrete,29,1,0,0.29,2.82,0
2024-11-14,Zone A,concrete,8,0,0,0.2,3.02,0
2024-11-15,Zone A,concrete,6,4,0,0.17,3.19,0
2024-11-16,Zone A,concrete,27,3,0,0.29,3.48,0
2024-11-17,Zone A,concrete,12,4,0,0.23,3.71,0
2024-11-18,Zone A,concrete,9,0,0,0.23,3.94,0
2024-11-19,Zone A,concrete,26,1,0,0.24,4.18,0
2024-11-20,Zone A,concrete,15,3,0,0.21,4.39,0
2024-11-21,Zone A,concrete,5,1,0,0.21,4.6,0
2024-11-22,Zone A,concrete,6,4,0,0.18,4.78,0
2024-11-23,Zone A,concrete,16,2,0,0.22,5.0,0
2024-11-24,Zone A,concrete,12,3,0,0.21,5.21,0
2024-11-25,Zone A,concrete,15,2,0,0.18,5.39,0
2024-11-26,Zone A,concrete,7,1,1,0.02,5.41,0
2024-11-27,Zone A,concrete,12,4,0,0.22,5.63,0
2024-11-28,Zone A,concrete,20,3,0,0.23,5.86,0
2024-11-29,Zone A,concrete,12,1,0,0.17,6.03,0
2024-11-30,Zone A,concrete,25,0,0,0.29,6.32,0
2024-12-01,Zone A,concrete,13,2,0,0.21,6.53,0
2024-12-02,Zone A,concrete,22,2,0,0.26,6.79,0
2024-12-03,Zone A,concrete,24,3,0,0.23,7.02,0
2024-12-04,Zone A,concrete,16,0,0,0.25,7.27,0
2024-12-05,Zone A,concrete,13,4,0,0.22,7.49,0
2024-12-06,Zone A,concrete,25,4,0,0.23,7.72,0
2024-12-07,Zone A,concrete,19,3,0,0.27,7.99,0
2024-12-08,Zone A,concrete,11,3,0,0.18,8.17,0
2024-12-09,Zone A,concrete,14,0,0,0.23,8.4,0
2024-12-10,Zone A,concrete,26,0,0,0.24,8.64,0
2024-12-11,Zone A,concrete,9,2,0,0.22,8.86,0
2024-12-12,Zone A,concrete,9,2,0,0.19,9.05,0
2024-12-13,Zone A,concrete,11,0,1,0.02,9.07,0
2024-12-14,Zone A,concrete,13,1,1,0.02,9.09,0
2024-12-15,Zone A,concrete,27,0,0,0.28,9.37,0
2024-12-16,Zone A,concrete,24,0,0,0.22,9.59,0
2024-12-17,Zone A,concrete,19,4,0,0.25,9.84,0
2024-12-18,Zone A,concrete,13,3,0,0.2,10.04,0
2024-12-19,Zone A,concrete,26,2,0,0.22,10.26,0
2024-12-20,Zone A,concrete,11,4,0,0.23,10.49,0
2024-12-21,Zone A,concrete,17,0,0,0.2,10.69,0
2024-12-22,Zone A,concrete,9,4,0,0.23,10.92,0
2024-12-23,Zone A,concrete,5,3,0,0.19,11.11,0
2024-12-24,Zone A,concrete,23,2,0,0.23,11.34,0
2024-12-25,Zone A,concrete,22,4,0,0.22,11.56,0
2024-12-26,Zone A,concrete,24,2,0,0.2,11.76,0
2024-12-27,Zone A,concrete,25,0,0,0.26,12.02,0
2024-12-28,Zone A,concrete,24,4,0,0.26,12.28,0
2024-12-29,Zone A,concrete,5,3,1,0.02,12.3,0
2024-12-30,Zone A,concrete,29,1,0,0.24,12.54,0
2024-12-31,Zone A,concrete,8,0,0,0.18,12.72,0
2025-01-01,Zone A,concrete,21,1,0,0.23,12.95,0
2025-01-02,Zone A,concrete,12,2,0,0.19,13.14,0
2025-01-03,Zone A,concrete,14,3,0,0.24,13.38,0
2025-01-04,Zone A,concrete,5,0,0,0.16,13.54,0
2025-01-05,Zone A,concrete,22,4,0,0.19,13.73,0
2025-01-06,Zone A,concrete,20,3,0,0.24,13.97,0
2025-01-07,Zone A,concrete,10,2,0,0.21,14.18,0
